Symbol,ISIN,Quantity,Buy Value,Sell Value,Realized P&L,Realized P&L Pct.,Previous Closing Price,Open Quantity,Open Quantity Type,Open Value,Unrealized P&L,Unrealized P&L Pct.,Year
RUCHISOYA,INE619A01027,0,0,0,0,0,3.35,400,,2205,-865,-39.229,2023
SBICARD,INE018E01016,35,27121.15,25725.05,-1396.1,-5.1476,0,0,,0,0,0,2023
SGBAPR28I-GB,IN0020200062,0,0,0,0,0,16495.41,10,,56300.06,108654.04,192.991,2023
SGBAUG30-GB,IN0020220078,0,0,0,0,0,17465.63,15,,84078.2,177906.25,211.5962,2023
SONACOMS,INE073K01018,0,0,0,0,0,461.7,150,,82301.95,-13046.95,-15.8525,2023
SULA,INE142Q01026,54,24868.3,25125.4,257.1,1.0338,0,0,,0,0,0,2023
TARSONS,INE144Z01023,45,29807.65,26068.15,-3739.5,-12.5454,0,0,,0,0,0,2023
TATAELXSI,INE670A01012,1,6167.8,6215.15,47.35,0.7677,0,0,,0,0,0,2023
TATASTEEL,INE081A01020,75,7686.5,7811.4,124.9,1.6249,0,0,,0,0,0,2023
TCS,INE467B01029,9,23388.85,28080.8,4691.95,20.0606,0,0,,0,0,0,2023
TIPSMUSIC,INE716B01029,0,0,0,0,0,519.25,209,,52847.85,55675.4,105.3504,2023
TITAGARH,INE615H01020,7,4550,4938.2,388.2,8.5319,0,0,,0,0,0,2023
VAIBHAVGBL,INE884A01027,79,26381.65,25039.6,-1342.05,-5.0871,0,0,,0,0,0,2023
ZENSARTECH,INE520A01027,7,3423.7,3591.7,168,4.907,0,0,,0,0,0,2023
ZENTEC,INE251B01027,5,4033.5,4155.25,121.75,3.0185,0,0,,0,0,0,2023
ANGELONE,INE732I01013,34,86626.5,86835.1,208.6,0.2408,2525.4,33,,77915.6,5422.6,6.9596,2025
ASIANPAINT,INE021A01026,2,4462.9,4455.2,-7.7,-0.1725,0,0,,0,0,0,2025
ATHERENERG,INE0LEZ01016,7,4562.95,4687.55,124.6,2.7307,0,0,,0,0,0,2025
BECTORFOOD,INE495P01020,0,0,0,0,0,231.75,300,,101381.95,-31856.95,-31.4227,2025
BIKAJI,INE00E101023,104,78588.1,78565.05,-23.05,-0.0293,0,0,,0,0,0,2025
BILNCD2021-N3,INE216A08027,0,0,0,0,0,30.22,6,,0,181.32,0,2025
BLS,INE153T01027,200,79550,62845,-16705,-20.9994,0,0,,0,0,0,2025
BLUESTARCO,INE472A01039,57,91657.55,100210.25,8552.7,9.3311,0,0,,0,0,0,2025
BRITANNIA-N2,INE216A07052,0,0,0,0,0,32.2,5,,0,161,0,2025
BSE,INE118H01025,10,25017.2,24427,-590.2,-2.3592,0,0,,0,0,0,2025
C2C-SM,INE0U7V01015,0,0,0,0,0,447.3,150,,102300,-35205,-34.4135,2025
CDSL,INE736A01011,30,39568,51315,11747,29.6881,0,0,,0,0,0,2025
CMSINFO,INE925R01014,334,134992.35,140664.25,5671.9,4.2016,0,0,,0,0,0,2025
EFCIL,INE886D01026,0,0,0,0,0,281.05,258,,74661,-2150.1,-2.8798,2025
EIDPARRY,INE126A01031,0,0,0,0,0,944.35,327,,235494.8,73307.65,31.1292,2025
ETERNAL,INE758T01015,0,0,0,0,0,299.25,5,,1414.15,82.1,5.8056,2025
FEDFINA,INE007N01010,0,0,0,0,0,176.4,1665,,192453.98,101252.02,52.611,2025
GSMFOILS-SM,INE0SQY01018,0,0,0,0,0,207.4,1000,,226400,-19000,-8.3922,2025
GSM-RE-ST,INE0SQY20018,200,5500,10310,4810,87.4545,0,0,,0,0,0,2025
